"churn","avg_wines","avg_fruits","avg_meat","avg_fish","avg_sweet","avg_gold"
"0","304.3408","26.2770","164.8447","37.7211","26.8096","43.5589"
"1","300.1789","26.5367","186.4771","35.7110","29.4128","48.3165"
