"churn","avg_cmp1","avg_cmp2","avg_cmp3","avg_cmp4","avg_cmp5","avg_response"
"0","0.0656","0.0132","0.0739","0.0730","0.0725","0.1582"
"1","0.0505","0.0152","0.0606","0.0909","0.0758","0.0556"
